idx,label,part,valley_distinct,h,j,dh,dj,t,perp,Dhj,vr,mixlogp,LatAD_pct,USAD_pct,TranAD_pct,AE_pct,IF_pct,linres_pct,maxz_pct
0,0,in_cluster,0,9,4,3.681,11.165,-0.066,3.899,3.535,0.115,-18.09,0.0016,0.0221,0.0111,0.0229,0.0079,0.1589,0.9241
1,0,beyond,0,3,13,7.502,8.201,-0.004,3.951,5.416,0.000,-38.36,0.0111,0.0988,0.0775,0.1447,0.2751,0.1636,0.9368
2,0,beyond,0,3,13,7.312,8.779,-0.028,4.226,5.416,0.000,-37.04,0.0553,0.2040,0.1652,0.1557,0.4411,0.0530,0.9328
3,0,in_cluster,0,14,10,6.249,6.671,0.722,3.390,7.270,0.000,-32.90,0.0506,0.2680,0.2142,0.1028,0.5763,0.0806,0.9146
4,1,valley,1,10,5,7.603,10.278,0.799,5.385,5.220,0.000,-40.07,0.0569,0.2364,0.1771,0.1715,0.5304,0.1818,0.8964
5,1,valley,1,8,0,7.220,8.586,0.650,3.763,4.636,0.002,-39.59,0.1763,0.1470,0.1233,0.1913,0.4822,0.2609,0.9217
6,1,valley,1,8,0,9.326,9.330,0.544,4.718,4.636,0.002,-55.73,0.3051,0.0830,0.0656,0.1905,0.3099,0.2727,0.9336
7,1,valley,1,7,0,10.851,13.075,0.624,4.576,14.092,0.000,-74.72,0.2593,0.0617,0.0458,0.1763,0.1146,0.2704,0.9289
8,1,valley,1,7,0,11.075,13.065,0.630,4.622,14.092,0.000,-77.18,0.1953,0.0704,0.0625,0.1644,0.1336,0.2593,0.9289
9,1,off,0,11,7,10.899,14.347,0.113,10.134,14.226,0.000,-74.35,0.3787,0.3360,0.3241,0.6688,0.7439,0.2482,0.9083
10,1,off,0,11,7,13.800,15.240,0.146,12.140,14.226,0.000,-110.16,0.3842,0.3842,0.3826,0.4609,0.6822,0.2625,0.9178
11,1,off,0,7,0,11.917,13.643,0.456,7.526,14.092,0.000,-86.86,0.3312,0.1976,0.2688,0.5304,0.1597,0.2458,0.9289
12,0,in_cluster,0,9,7,4.203,12.122,-0.029,3.152,6.628,0.000,-20.15,0.0071,0.0237,0.0182,0.0735,0.0269,0.1289,0.9320
13,0,in_cluster,0,9,7,3.966,11.958,0.011,2.975,6.628,0.000,-19.18,0.0047,0.0285,0.0206,0.0941,0.0348,0.1352,0.9391
14,0,valley,1,7,0,13.241,15.059,0.640,5.871,14.092,0.000,-103.52,0.3304,0.0506,0.0324,0.2016,0.3312,0.1249,0.9423
15,1,beyond,0,3,14,9.234,12.620,-0.063,4.627,8.288,0.000,-52.94,0.1850,0.1312,0.1233,0.2008,0.4166,0.2395,0.9415
16,1,off,0,14,10,9.047,14.031,0.432,7.369,7.270,0.000,-55.20,0.2854,0.2506,0.2119,0.2174,0.6040,0.2553,0.9415
17,1,valley,1,14,10,7.570,9.877,0.810,3.914,7.270,0.000,-42.92,0.0901,0.3004,0.2648,0.2079,0.6237,0.2553,0.9360
18,0,valley,1,0,8,9.832,10.087,0.339,5.508,4.636,0.002,-60.84,0.1881,0.2348,0.1968,0.2348,0.6949,0.1692,0.9209
19,0,in_cluster,0,8,0,5.497,8.827,0.782,3.497,4.636,0.002,-28.64,0.0253,0.1178,0.1138,0.2079,0.3945,0.0538,0.9225
20,1,in_cluster,0,1,0,5.531,12.013,-0.029,5.107,9.113,0.000,-21.05,0.0032,0.0727,0.0640,0.0846,0.0806,0.0229,0.9336
21,1,in_cluster,0,1,7,5.000,12.099,0.021,2.380,7.438,0.000,-18.25,0.0119,0.0435,0.0364,0.0609,0.0482,0.0656,0.9360
22,1,in_cluster,0,9,1,5.273,6.669,0.305,4.552,8.313,0.000,-25.16,0.0206,0.0379,0.0285,0.0419,0.0277,0.1107,0.9336
23,1,off,0,2,11,9.016,13.158,0.212,7.513,5.928,0.000,-51.01,0.2490,0.2625,0.3020,0.4609,0.7391,0.5059,0.9415
24,1,off,0,2,11,10.937,11.554,0.255,7.667,5.928,0.000,-70.18,0.2466,0.3352,0.3407,0.3644,0.9202,0.5739,0.9447
25,1,valley,1,0,11,13.229,14.582,0.471,6.959,20.342,0.000,-100.05,0.4372,0.2625,0.2648,0.3929,0.9368,0.2609,0.9415
26,1,valley,1,0,7,10.379,12.559,0.200,4.682,14.092,0.000,-66.40,0.2617,0.1502,0.1534,0.3194,0.4656,0.1676,0.9399
27,1,valley,1,0,7,11.120,12.158,0.226,4.331,14.092,0.000,-74.36,0.2711,0.0877,0.0901,0.2806,0.3834,0.2609,0.9431
28,0,in_cluster,0,9,1,5.782,6.814,0.303,3.956,8.313,0.000,-27.70,0.0957,0.0759,0.0783,0.1360,0.0640,0.2672,0.9470
29,0,in_cluster,0,9,1,5.326,8.165,0.228,4.078,8.313,0.000,-25.50,0.0814,0.0854,0.0814,0.1549,0.0941,0.2696,0.9455
30,0,valley,1,3,9,10.883,11.667,0.717,6.464,10.751,0.000,-69.53,0.3146,0.1368,0.1375,0.2063,0.3913,0.2625,0.9486
31,0,valley,1,14,3,8.056,9.471,0.866,3.852,8.288,0.000,-46.72,0.1597,0.2174,0.1858,0.2530,0.7455,0.2506,0.9478
32,0,off,0,3,14,12.092,14.222,0.045,7.636,8.288,0.000,-83.41,0.2403,0.2711,0.2221,0.2213,0.6877,0.1818,0.9447
33,0,in_cluster,0,8,0,6.311,9.273,0.795,3.840,4.636,0.002,-33.45,0.0988,0.2593,0.1960,0.2711,0.7542,0.1186,0.9462
