idx,label,part,valley_distinct,h,j,dh,dj,t,perp,Dhj,vr,mixlogp,LatAD_pct,USAD_pct,TranAD_pct,AE_pct,IF_pct,linres_pct,maxz_pct
0,0,in_cluster,0,0,1,3.669,4.663,0.850,2.552,4.852,0.020,-26.54,0.5385,0.6428,0.6884,0.5960,0.1980,0.8773,0.7722
1,0,in_cluster,0,0,1,3.871,4.279,0.894,2.719,4.852,0.020,-25.61,0.5953,0.6879,0.7151,0.6603,0.3752,0.8989,0.7722
2,0,in_cluster,0,0,1,3.894,4.202,0.929,2.556,4.852,0.020,-21.85,0.5175,0.7105,0.7365,0.6735,0.4591,0.9243,0.7722
3,0,in_cluster,0,0,1,3.682,4.330,0.862,2.544,4.852,0.020,-23.24,0.2807,0.6796,0.7296,0.5886,0.2012,0.9180,0.7875
4,0,in_cluster,0,0,1,3.749,4.177,0.890,2.516,4.852,0.020,-25.66,0.3987,0.6424,0.7129,0.6371,0.2285,0.9158,0.7875
5,0,in_cluster,0,0,12,3.182,4.624,0.722,2.702,4.105,0.089,-23.37,0.2123,0.6764,0.7261,0.5914,0.1184,0.9038,0.7722
6,0,in_cluster,0,0,12,3.566,3.923,0.765,2.985,4.105,0.089,-22.37,0.1428,0.7090,0.7415,0.6060,0.0919,0.9105,0.7722
7,0,in_cluster,0,0,8,3.067,3.365,0.886,1.726,4.275,0.073,-18.33,0.3491,0.7333,0.7541,0.5962,0.1901,0.9108,0.7722
8,0,in_cluster,0,0,8,3.406,3.547,0.870,2.414,4.275,0.073,-18.96,0.4789,0.7493,0.7705,0.7386,0.3435,0.9015,0.7875
9,0,in_cluster,0,0,12,3.501,3.614,0.746,3.112,4.105,0.089,-20.29,0.5277,0.7670,0.7924,0.7985,0.4753,0.9049,0.7950
10,0,in_cluster,0,0,12,3.638,3.781,0.735,3.171,4.105,0.089,-21.02,0.7428,0.7848,0.8082,0.8187,0.6380,0.9058,0.7693
11,0,valley,1,0,12,4.534,4.638,0.764,4.035,4.105,0.089,-25.00,0.7172,0.7426,0.7595,0.8168,0.4480,0.8928,0.7636
12,0,in_cluster,0,0,8,3.437,3.712,0.948,1.788,4.275,0.073,-19.56,0.2917,0.6315,0.6816,0.5329,0.0767,0.8896,0.7640
13,0,in_cluster,0,8,0,3.305,3.514,0.070,2.027,4.275,0.073,-18.13,0.2615,0.6163,0.6815,0.5031,0.1143,0.8915,0.7837
14,0,in_cluster,0,0,12,3.360,3.881,0.764,2.721,4.105,0.089,-21.42,0.2352,0.6718,0.7198,0.5749,0.1040,0.8931,0.7693
15,0,in_cluster,0,0,8,3.112,3.566,0.900,1.616,4.275,0.073,-19.02,0.1501,0.7072,0.7416,0.5223,0.0234,0.8906,0.7616
16,0,in_cluster,0,0,8,3.137,3.172,0.887,1.694,4.275,0.073,-17.70,0.1880,0.7012,0.7367,0.5201,0.0519,0.8960,0.7577
17,0,in_cluster,0,0,8,3.249,3.497,0.876,2.002,4.275,0.073,-18.78,0.3584,0.7039,0.7372,0.6352,0.1152,0.9240,0.7588
18,0,in_cluster,0,0,12,3.286,3.672,0.739,2.781,4.105,0.089,-23.73,0.3396,0.7185,0.7448,0.6573,0.1127,0.9141,0.7654
19,0,in_cluster,0,0,8,3.230,3.369,0.914,1.588,4.275,0.073,-18.34,0.2666,0.7206,0.7479,0.5736,0.0709,0.8949,0.7654
20,0,in_cluster,0,0,8,3.148,4.044,0.896,1.503,4.275,0.073,-20.85,0.4484,0.6788,0.7205,0.6703,0.1905,0.8841,0.7722
21,0,in_cluster,0,0,8,3.388,3.677,0.909,1.875,4.275,0.073,-19.43,0.3845,0.6313,0.6977,0.5588,0.1816,0.8861,0.7722
22,0,in_cluster,0,0,8,3.409,3.582,0.918,1.976,4.275,0.073,-19.08,0.2972,0.6721,0.7260,0.5731,0.1228,0.9154,0.7722
23,0,in_cluster,0,0,8,3.896,4.378,0.873,2.879,4.275,0.073,-22.25,0.6807,0.7305,0.7628,0.7591,0.3751,0.9053,0.7722
24,0,in_cluster,0,0,12,3.427,3.620,0.751,2.818,4.105,0.089,-19.90,0.2743,0.7294,0.7630,0.5442,0.1135,0.9113,0.7722
