idx,label,part,valley_distinct,h,j,dh,dj,t,perp,Dhj,vr,mixlogp,LatAD_pct,USAD_pct,TranAD_pct,AE_pct,IF_pct,linres_pct,maxz_pct
0,0,in_cluster,0,4,7,6.053,10.712,0.271,2.915,11.534,0.000,-23.48,0.0016,0.0221,0.0111,0.0229,0.0079,0.1589,0.9241
1,0,in_cluster,0,5,7,4.194,12.188,-0.068,4.592,7.611,0.000,-22.14,0.0111,0.0988,0.0775,0.1447,0.2751,0.1636,0.9368
2,0,in_cluster,0,5,11,3.947,12.057,0.720,1.847,4.649,0.002,-21.13,0.0553,0.2040,0.1652,0.1557,0.4411,0.0530,0.9328
3,0,in_cluster,0,0,12,6.672,7.887,0.816,3.806,5.110,0.000,-33.88,0.0506,0.2680,0.2142,0.1028,0.5763,0.0806,0.9146
4,1,valley,1,0,12,7.559,7.705,0.803,4.516,5.110,0.000,-37.04,0.0569,0.2364,0.1771,0.1715,0.5304,0.1818,0.8964
5,1,valley,1,2,9,7.079,8.588,0.651,3.770,4.664,0.003,-38.88,0.1763,0.1470,0.1233,0.1913,0.4822,0.2609,0.9217
6,1,valley,1,2,9,7.909,9.335,0.538,4.501,4.664,0.003,-45.10,0.3051,0.0830,0.0656,0.1905,0.3099,0.2727,0.9336
7,1,valley,1,7,2,11.238,12.249,0.272,6.162,6.735,0.000,-79.07,0.2593,0.0617,0.0458,0.1763,0.1146,0.2704,0.9289
8,1,valley,1,7,2,11.262,11.997,0.225,6.421,6.735,0.000,-79.33,0.1953,0.0704,0.0625,0.1644,0.1336,0.2593,0.9289
9,1,off,0,7,6,14.282,15.463,0.883,11.001,13.339,0.000,-117.91,0.3787,0.3360,0.3241,0.6688,0.7439,0.2482,0.9083
10,1,off,0,7,6,15.562,19.963,0.828,13.446,13.339,0.000,-137.00,0.3842,0.3842,0.3826,0.4609,0.6822,0.2625,0.9178
11,1,off,0,7,9,11.796,13.644,0.460,7.345,14.583,0.000,-85.49,0.3312,0.1976,0.2688,0.5304,0.1597,0.2458,0.9289
12,0,valley,1,4,7,7.377,11.733,0.203,2.895,11.534,0.000,-32.37,0.0071,0.0237,0.0182,0.0735,0.0269,0.1289,0.9320
13,0,in_cluster,0,4,7,6.527,11.578,0.201,2.405,11.534,0.000,-26.46,0.0047,0.0285,0.0206,0.0941,0.0348,0.1352,0.9391
14,0,valley,1,7,5,12.432,14.413,0.632,6.142,7.611,0.000,-93.19,0.3304,0.0506,0.0324,0.2016,0.3312,0.1249,0.9423
15,1,valley,1,5,7,7.566,12.266,0.036,5.411,7.611,0.000,-41.97,0.1850,0.1312,0.1233,0.2008,0.4166,0.2395,0.9415
16,1,off,0,0,7,11.474,13.380,0.233,7.368,13.429,0.000,-77.45,0.2854,0.2506,0.2119,0.2174,0.6040,0.2553,0.9415
