idx,label,part,valley_distinct,h,j,dh,dj,t,perp,Dhj,vr,mixlogp,LatAD_pct,USAD_pct,TranAD_pct,AE_pct,IF_pct,linres_pct,maxz_pct
0,0,in_cluster,0,11,10,3.347,3.986,0.611,2.816,3.799,0.008,-25.43,0.6705,0.2640,0.2447,0.4239,0.4027,0.6840,0.4586
1,0,in_cluster,0,11,9,2.949,3.913,0.803,2.344,2.565,0.698,-23.66,0.4316,0.2717,0.2736,0.3487,0.3218,0.8035,0.4721
2,0,in_cluster,0,5,1,4.653,4.818,0.595,3.855,3.420,0.970,-32.64,0.8767,0.5954,0.5472,0.7360,0.7264,0.7360,0.4778
3,0,in_cluster,0,10,1,4.269,5.650,0.226,3.855,6.099,0.000,-32.37,0.9480,0.5645,0.5067,0.8208,0.7206,0.5222,0.4836
4,0,in_cluster,0,11,10,3.735,3.833,0.709,2.872,3.799,0.008,-29.42,0.7437,0.2852,0.2775,0.5222,0.4509,0.2081,0.4875
5,0,in_cluster,0,11,4,3.278,4.477,0.290,2.774,4.205,0.084,-28.20,0.5992,0.4470,0.4277,0.3719,0.4123,0.1850,0.4952
6,0,in_cluster,0,11,5,3.062,4.508,0.306,2.437,4.224,0.182,-27.52,0.6089,0.4624,0.4066,0.3333,0.3719,0.1830,0.5434
7,0,in_cluster,0,11,5,3.458,5.128,0.026,2.507,4.224,0.182,-28.81,0.8786,0.5915,0.5318,0.8671,0.8343,0.2139,0.6590
8,0,in_cluster,0,11,3,4.423,4.961,0.344,2.309,5.964,0.000,-32.58,0.9171,0.7803,0.7168,0.8073,0.8459,0.2909,0.6301
9,0,in_cluster,0,10,3,2.454,7.249,0.034,2.069,6.139,0.000,-26.28,0.6936,0.8304,0.7784,0.9692,0.7611,0.1310,0.6378
10,0,in_cluster,0,10,11,2.214,7.120,-0.088,1.978,3.799,0.008,-25.72,0.7013,0.7495,0.7071,0.8343,0.6532,0.1407,0.6397
11,0,in_cluster,0,10,11,2.993,3.929,0.253,2.396,3.799,0.008,-27.69,0.3738,0.5549,0.5260,0.4335,0.4220,0.3892,0.5299
12,0,in_cluster,0,11,0,3.267,3.880,0.999,2.020,3.534,0.151,-23.71,0.2505,0.6532,0.6301,0.3064,0.4740,0.2582,0.5318
13,0,in_cluster,0,11,0,2.914,3.718,0.931,1.634,3.534,0.151,-23.09,0.2620,0.6146,0.5819,0.2871,0.4316,0.1599,0.5376
14,0,in_cluster,0,10,11,3.090,3.712,0.339,2.701,3.799,0.008,-24.09,0.2351,0.3565,0.3391,0.2408,0.2775,0.1773,0.5549
15,0,in_cluster,0,10,7,2.848,3.951,0.993,2.062,2.783,0.323,-20.14,0.1811,0.4432,0.3719,0.2139,0.2139,0.1522,0.5645
