idx,label,part,valley_distinct,h,j,dh,dj,t,perp,Dhj,vr,mixlogp,LatAD_pct,USAD_pct,TranAD_pct,AE_pct,IF_pct,linres_pct,maxz_pct
0,0,in_cluster,0,9,15,3.253,3.697,0.782,2.267,4.325,0.022,-22.40,0.6705,0.2640,0.2447,0.4239,0.4027,0.6840,0.4586
1,0,in_cluster,0,15,6,3.354,3.891,0.271,2.314,4.831,0.002,-21.19,0.4316,0.2717,0.2736,0.3487,0.3218,0.8035,0.4721
2,0,in_cluster,0,12,1,3.130,4.410,0.268,3.007,5.091,0.000,-27.76,0.8767,0.5954,0.5472,0.7360,0.7264,0.7360,0.4778
3,0,in_cluster,0,12,1,3.658,5.130,0.199,3.670,5.091,0.000,-29.56,0.9480,0.5645,0.5067,0.8208,0.7206,0.5222,0.4836
4,0,in_cluster,0,12,9,3.698,4.171,0.386,2.901,4.360,0.004,-28.30,0.7437,0.2852,0.2775,0.5222,0.4509,0.2081,0.4875
5,0,in_cluster,0,12,9,3.223,4.512,0.332,2.656,4.360,0.004,-28.05,0.5992,0.4470,0.4277,0.3719,0.4123,0.1850,0.4952
6,0,in_cluster,0,12,6,2.918,4.246,0.362,2.861,4.278,0.000,-27.12,0.6089,0.4624,0.4066,0.3333,0.3719,0.1830,0.5434
7,0,in_cluster,0,12,8,3.507,4.639,0.372,2.450,6.439,0.000,-29.02,0.8786,0.5915,0.5318,0.8671,0.8343,0.2139,0.6590
8,0,in_cluster,0,12,8,3.504,5.371,0.358,2.558,6.439,0.000,-29.01,0.9171,0.7803,0.7168,0.8073,0.8459,0.2909,0.6301
9,0,in_cluster,0,12,9,2.343,8.777,0.033,2.194,4.360,0.004,-25.62,0.6936,0.8304,0.7784,0.9692,0.7611,0.1310,0.6378
10,0,in_cluster,0,12,9,2.504,6.641,0.210,2.184,4.360,0.004,-26.01,0.7013,0.7495,0.7071,0.8343,0.6532,0.1407,0.6397
11,0,in_cluster,0,12,9,2.981,3.933,0.328,2.888,4.360,0.004,-26.56,0.3738,0.5549,0.5260,0.4335,0.4220,0.3892,0.5299
12,0,in_cluster,0,5,6,3.506,3.666,0.011,2.115,3.329,0.090,-22.71,0.2505,0.6532,0.6301,0.3064,0.4740,0.2582,0.5318
13,0,in_cluster,0,6,5,3.272,3.325,0.934,1.646,3.329,0.090,-22.09,0.2620,0.6146,0.5819,0.2871,0.4316,0.1599,0.5376
14,0,in_cluster,0,12,5,3.005,3.910,0.621,2.617,4.203,0.091,-23.73,0.2351,0.3565,0.3391,0.2408,0.2775,0.1773,0.5549
15,0,in_cluster,0,12,13,3.127,3.819,0.699,2.637,3.484,0.011,-20.57,0.1811,0.4432,0.3719,0.2139,0.2139,0.1522,0.5645
16,1,in_cluster,0,12,13,3.509,3.737,0.700,3.214,3.484,0.011,-21.68,0.3487,0.4432,0.4008,0.4355,0.4374,0.1908,0.5742
17,1,in_cluster,0,5,6,5.043,7.203,0.035,5.037,3.329,0.090,-29.28,0.9461,0.6050,0.6339,0.8709,0.9229,0.3584,0.5819
18,1,in_cluster,0,5,6,2.999,3.387,0.004,2.231,3.329,0.090,-21.06,0.3719,0.7630,0.7881,0.3622,0.6108,0.3218,0.5896
19,1,in_cluster,0,9,5,3.823,3.968,0.725,2.841,5.312,0.012,-24.44,0.8131,0.6763,0.6898,0.6378,0.5780,0.3680,0.5934
20,1,in_cluster,0,5,12,3.858,3.953,0.223,3.117,4.203,0.091,-24.00,0.6031,0.6166,0.6281,0.4875,0.6570,0.2582,0.6667
21,1,in_cluster,0,5,12,3.615,4.401,0.015,3.088,4.203,0.091,-23.10,0.5222,0.7013,0.6686,0.5260,0.7110,0.0520,0.7071
22,0,in_cluster,0,12,5,3.644,3.678,0.781,3.077,4.203,0.091,-16.68,0.3911,0.6320,0.5530,0.4605,0.4759,0.0135,0.6474
23,0,in_cluster,0,12,13,3.169,3.669,0.807,2.604,3.484,0.011,-20.48,0.2139,0.5530,0.5029,0.3314,0.2909,0.0347,0.5067
24,0,in_cluster,0,12,13,3.130,3.734,0.797,2.525,3.484,0.011,-17.94,0.1869,0.5761,0.5241,0.3198,0.2987,0.0636,0.4200
25,0,in_cluster,0,5,6,2.590,2.780,0.131,1.929,3.329,0.090,-19.92,0.2563,0.7341,0.7225,0.4586,0.5684,0.1252,0.4566
26,0,in_cluster,0,6,5,2.665,3.054,0.768,1.998,3.329,0.090,-21.22,0.2062,0.6936,0.6917,0.3815,0.5491,0.4335,0.4740
27,0,in_cluster,0,12,5,3.089,3.453,0.689,2.696,4.203,0.091,-15.68,0.1580,0.3931,0.3834,0.3507,0.2428,0.3680,0.4277
28,0,in_cluster,0,12,11,3.114,3.475,0.888,1.822,4.194,0.193,-15.07,0.1387,0.4528,0.4046,0.1657,0.1657,0.1965,0.4297
29,0,in_cluster,0,12,13,3.007,3.598,0.754,2.518,3.484,0.011,-18.68,0.1272,0.3988,0.3738,0.1541,0.1407,0.1291,0.4355
30,0,in_cluster,0,13,7,2.951,3.318,0.253,2.704,2.703,0.013,-21.83,0.6416,0.4085,0.4355,0.6686,0.5260,0.1060,0.4412
31,0,in_cluster,0,9,7,4.885,4.986,0.540,3.517,2.955,0.798,-31.62,0.8863,0.5857,0.5915,0.8998,0.8170,0.3526,0.4393
32,0,in_cluster,0,13,7,3.681,4.075,0.662,3.177,2.703,0.013,-24.26,0.9114,0.4990,0.4855,0.7919,0.6243,0.6089,0.4432
33,0,in_cluster,0,13,7,2.644,3.770,0.299,2.468,2.703,0.013,-21.00,0.4778,0.3353,0.3160,0.5183,0.5125,0.0116,0.4509
34,0,in_cluster,0,7,9,3.227,4.067,-0.170,2.886,2.955,0.798,-24.97,0.6108,0.4933,0.4258,0.5356,0.6108,0.0328,0.4701
35,0,in_cluster,0,7,9,3.296,3.992,-0.117,2.951,2.955,0.798,-25.19,0.6031,0.5299,0.4123,0.4644,0.5434,0.3083,0.5973
36,0,in_cluster,0,13,7,3.481,4.672,0.327,3.557,2.703,0.013,-23.56,0.6339,0.4489,0.3430,0.4624,0.4586,0.4547,0.6821
37,0,in_cluster,0,13,9,3.731,4.868,-0.022,3.517,3.727,0.216,-24.47,0.6474,0.4644,0.3661,0.4971,0.5164,0.5877,0.6686
38,0,in_cluster,0,13,7,2.855,3.623,0.115,2.508,2.703,0.013,-21.57,0.3237,0.5010,0.3931,0.2832,0.2659,0.6378,0.5530
39,0,in_cluster,0,6,7,3.208,4.121,0.394,3.009,3.508,0.124,-27.15,0.5453,0.6050,0.4605,0.2948,0.3680,0.3372,0.3834
40,0,in_cluster,0,6,7,3.168,4.123,0.388,2.939,3.508,0.124,-27.07,0.5222,0.4971,0.3237,0.2987,0.3699,0.1869,0.3083
41,0,in_cluster,0,7,9,3.328,3.769,-0.256,2.326,2.955,0.798,-25.30,0.4162,0.3064,0.2062,0.2158,0.2832,0.1696,0.2967
42,0,in_cluster,0,7,9,2.822,3.473,-0.230,2.060,2.955,0.798,-23.74,0.3487,0.3083,0.2177,0.2447,0.2408,0.1503,0.3025
43,0,in_cluster,0,13,7,2.820,3.050,0.250,2.338,2.703,0.013,-21.43,0.6724,0.3276,0.2389,0.5125,0.4066,0.0000,0.3121
44,0,in_cluster,0,13,9,2.904,3.261,0.067,1.877,3.727,0.216,-21.69,0.6647,0.2832,0.2042,0.5318,0.4239,0.1233,0.3198
45,0,in_cluster,0,13,7,2.272,3.258,0.161,2.293,2.703,0.013,-20.08,0.3295,0.2177,0.1040,0.1561,0.1734,0.4470,0.3295
46,0,in_cluster,0,6,7,3.029,4.050,0.390,2.920,3.508,0.124,-26.67,0.4644,0.2775,0.1965,0.2717,0.3873,0.1329,0.3333
47,0,in_cluster,0,6,7,2.920,3.807,0.433,2.729,3.508,0.124,-26.13,0.4990,0.3044,0.2312,0.2775,0.3854,0.2505,0.2042
48,0,in_cluster,0,13,7,2.463,2.517,0.343,1.758,2.703,0.013,-20.45,0.3218,0.2813,0.1541,0.1426,0.1503,0.3430,0.1445
49,0,in_cluster,0,13,7,2.136,3.126,0.140,2.071,2.703,0.013,-19.78,0.3198,0.2543,0.0963,0.1407,0.1387,0.2466,0.1464
50,0,in_cluster,0,13,7,2.199,3.639,0.032,2.473,2.703,0.013,-19.92,0.3141,0.2042,0.0886,0.1040,0.1426,0.2428,0.1561
51,0,in_cluster,0,13,7,2.011,3.162,0.312,2.273,2.703,0.013,-19.52,0.6917,0.2620,0.2197,0.4701,0.3102,0.3064,0.1599
